constituency,candidate_name,party
Candidates - The Free National Movement,Skip to content,FNM
Skip to content,Who we are,FNM
Who we are,Party,FNM
Party,Accomplishments,FNM
Accomplishments,Associations,FNM
Associations,Torchbearers Youth Association,FNM
Torchbearers Youth Association,Women’s Association,FNM
Women’s Association,Candidates,FNM
Candidates,Constitution,FNM
Constitution,Party Officers,FNM
Party Officers,Our Vision,FNM
Our Vision,Media,FNM
Media,Events,FNM
Events,Media,FNM
Media,Press Releases,FNM
Press Releases,Where to Vote,FNM
Where to Vote,Contact,FNM
Contact,Volunteer,FNM
Volunteer,Email Signup,FNM
Email Signup,Who we are,FNM
Who we are,Party,FNM
Party,Accomplishments,FNM
Accomplishments,Associations,FNM
Associations,Torchbearers Youth Association,FNM
Torchbearers Youth Association,Women’s Association,FNM
Women’s Association,Candidates,FNM
Candidates,Constitution,FNM
Constitution,Party Officers,FNM
Party Officers,Our Vision,FNM
Our Vision,Media,FNM
Media,Events,FNM
Events,Media,FNM
Media,Press Releases,FNM
Press Releases,Where to Vote,FNM
Where to Vote,Contact,FNM
Contact,Volunteer,FNM
Volunteer,Email Signup,FNM
Email Signup,Donate,FNM
Donate,Meet the New Members,FNM
Meet the New Members,of TEAM:WORK,FNM
of TEAM:WORK,FNM Candidates 2026,FNM
FNM Candidates 2026,Meet Our Candidates,FNM
Meet Our Candidates,All Islands,FNM
All Islands,New Providence,FNM
New Providence,Grand Bahama,FNM
Grand Bahama,Family Islands,FNM
Family Islands,Bains Town and Grants Town,FNM
Bains Town and Grants Town,Jay Philippe,FNM
Jay Philippe,Bamboo Town,FNM
Bamboo Town,Dr. Duane E. Sands,FNM
Dr. Duane E. Sands,Bimini and the Berry Islands,FNM
Bimini and the Berry Islands,Carlton Bowleg,FNM
Carlton Bowleg,Carmichael,FNM
Carmichael,Arinthia S. Komolafe,FNM
Arinthia S. Komolafe,"Cat Island, Rum Cay, and San Salvador",FNM
"Cat Island, Rum Cay, and San Salvador",Mike Holmes,FNM
Mike Holmes,Central and South Abaco,FNM
Central and South Abaco,Jeremy Sweeting,FNM
Jeremy Sweeting,Central and South Eleuthera,FNM
Central and South Eleuthera,Philippa Kelly,FNM
Philippa Kelly,Central Grand Bahama,FNM
Central Grand Bahama,Frazette Gibson,FNM
Frazette Gibson,"Central, Mangrove Cay, and South Andros",FNM
"Central, Mangrove Cay, and South Andros",Julian Gibson,FNM
Julian Gibson,Centreville,FNM
Centreville,Darvin Russell,FNM
Darvin Russell,East Grand Bahama,FNM
East Grand Bahama,J. Kwasi Thompson,FNM
J. Kwasi Thompson,Elizabeth,FNM
Elizabeth,Heather Hunt,FNM
Heather Hunt,Englerston,FNM
Englerston,Heather McDonald,FNM
Heather McDonald,Exuma and Ragged Island,FNM
Exuma and Ragged Island,Debra Moxey-Rolle,FNM
Debra Moxey-Rolle,Fort Charlotte,FNM
Fort Charlotte,Travis L. Robinson,FNM
Travis L. Robinson,Fox Hill,FNM
Fox Hill,Dr. Nicholas Fox,FNM
Dr. Nicholas Fox,Free Town,FNM
Free Town,Lincoln Deal,FNM
Lincoln Deal,Garden Hills,FNM
Garden Hills,Rick Fox,FNM
Rick Fox,Golden Gates,FNM
Golden Gates,Michael Foulkes,FNM
Michael Foulkes,Golden Isles,FNM
Golden Isles,Brian Brown,FNM
Brian Brown,Killarney,FNM
Killarney,Michela Barnett – Ellis,FNM
Michela Barnett – Ellis,Long Island,FNM
Long Island,Dr. S. André Rollins,FNM
Dr. S. André Rollins,Marathon,FNM
Marathon,Dr. Jacqueline Penn-Knowles,FNM
Dr. Jacqueline Penn-Knowles,Marco City,FNM
Marco City,Michael C. Pintard,FNM
Michael C. Pintard,MICAL,FNM
James Leo Ferguson,Mount Moriah,FNM
Mount Moriah,Marvin Dames,FNM
Marvin Dames,Nassau Village,FNM
Nassau Village,Gadville McDonald,FNM
Gadville McDonald,North Abaco,FNM
North Abaco,Terrece Bootle,FNM
Terrece Bootle,North Andros,FNM
North Andros,Janice Oliver,FNM
Janice Oliver,North Eleuthera,FNM
North Eleuthera,Rickey Mackey,FNM
Rickey Mackey,Pineridge,FNM
Pineridge,Dr. Charlene Reid,FNM
Dr. Charlene Reid,Pinewood,FNM
Pinewood,Denarii Rolle,FNM
Denarii Rolle,Sea Breeze,FNM
Sea Breeze,Trevania Clarke-Hall,FNM
Trevania Clarke-Hall,South Beach,FNM
South Beach,Darren Henfield,FNM
Darren Henfield,Southern Shores,FNM
Southern Shores,Denalee Penn-Mackey,FNM
Denalee Penn-Mackey,St. Anne’s,FNM
St. Anne’s,Adrian White,FNM
Adrian White,St. Barnabas,FNM
St. Barnabas,Jamal Moss,FNM
Jamal Moss,St. James,FNM
St. James,Shanendon E. Cartwright,FNM
Shanendon E. Cartwright,Tall Pines,FNM
Tall Pines,Serfent E.J Rolle,FNM
Serfent E.J Rolle,West Grand Bahama,FNM
West Grand Bahama,Omar Isaacs,FNM
Omar Isaacs,Yamacraw,FNM
Yamacraw,Elsworth Johnson,FNM
Elsworth Johnson,No candidates found for this region.,FNM
No candidates found for this region.,Facebook,FNM
Facebook,Instagram,FNM
Instagram,X-twitter-square,FNM
X-twitter-square,Youtube-square,FNM
Youtube-square,Whatsapp-square,FNM
Whatsapp-square,FNM Links,FNM
FNM Links,Who we are,FNM
Who we are,Party,FNM
Party,Accomplishments,FNM
Accomplishments,Associations,FNM
Associations,Torchbearers Youth Association,FNM
Torchbearers Youth Association,Women’s Association,FNM
Women’s Association,Candidates,FNM
Candidates,Constitution,FNM
Constitution,Party Officers,FNM
Party Officers,Our Vision,FNM
Our Vision,Media,FNM
Media,Events,FNM
Events,Media,FNM
Media,Press Releases,FNM
Press Releases,Where to Vote,FNM
Where to Vote,Contact,FNM
Contact,Volunteer,FNM
Volunteer,Email Signup,FNM
Email Signup,Sign up for Email Updates,FNM
Sign up for Email Updates,Notice: JavaScript is required for this content.,FNM
Notice: JavaScript is required for this content.,© Copyright 2025 The Free National Movement. All rights Reserved.,FNM
